Amendment	n.宪法修正案
exclude	vt.把…排除在外，排斥
exclusion	n.排除，逐出
exclusive	adj.单独的，唯一的；排外的
exclusively	adv.排外地, 专有地
excursion	n.远足，游览
excuse	vt.原谅 n.藉口，理由
execute	vt.完成，实施，执行
execution	n.实施，执行；完成
executive	adj.行政的 n.执行者，经理主管人员
exemplary	adj.模范的，典范的，可仿效的
exemplify	vt.例证；作为…的例子
exempt	vt.使免除，豁免
exemption	n.解除，免除
exert	vt.运用，行使，施加
exertion	n.尽力，努力
exhale	vt.呼出，呼气
exhaust	n.排气，排气装置 vt.用尽，耗尽，使筋疲力尽
exhausted	adj.精疲力尽的
exhausting	adj.使用尽的, 令人疲乏不堪的
exhibit	vt.展现；展览
exhibition	n.展览会；展览品
exhilarate	vt.使人兴奋
exhilarating	adj.爽快的，使人愉快的
exit	n.出口
exorbitant	adj.（价格、索价）过高的，过分的
exotic	adj.异国的，外来的；奇异的
expand	v.扩大，膨胀；扩张
expanding	adj.扩大的，增加的
expanse	n.广阔的区域
expansion	n.扩张，发展
expedition	n.远征；探险队
expel	v.驱逐，开除；排出
expenditure	n.支出, 花费
expertise	n.专门技术，技能
expire	vi.期满，到期 vi.呼气
explicit	adj.明确的，清楚的
explode	vi.爆炸；爆发
exploit	vt.开拓；开采，开发
exploitation	n.开发，开采
exploration	n.勘察；探究
explore	vt.探险，勘探 vt.仔细检查，探究
explorer	n.探险家，探测者
explosive	adj.爆炸的；易爆发的 n.炸药
exponential	adj.指数的，幂数的
exposition	n.博览会，展览会
exposure	n.暴露；曝光
expressive	adj.有表现力的,富有表情的,生动的
expressly	adv.特意地，专门
extend	v.延长；扩大
extended	adj.延长的，扩大的
extension	n.延长，扩充
extensive	adj.广的；多方面的，广泛的
exterior	n.外部，外表
exterminate	v.根除，灭绝
external	adj.外部的
extinct	adj.灭绝的；不再活跃的，熄灭的
extinction	n.消失，灭绝
extol	vt.赞美
extract	vt.拔出；榨取 n.精，汁；榨出物
extraordinary	adj.特别的，非凡的
extremity	n.末端；极端，极度
exuberant	adj.充满活力的 adj.（植物）繁茂的
eye-catching	adj.引人注目的，耀眼的
eyewitness	n.目击者, 见证人
fable	n.寓言，神话
fabric	n.织物，布 n.结构，构造
facade	n.正面；表面
face	vt.面对
facelift	n.改建，表面修改
facet	n.面；（问题等的）方面
facilitate	vt.使容易；有助于，促进
facilitation	n.促进，帮助
facility	n.设施，设备
facsimile	n.复制品，传真
faction	n.派别，宗派，小集团
factor	n.因素；变量
factual	adj.事实的，实际的
faculty	n.教职工的总称 n.才能，能力
fade	vi.逐渐消失 vi.褪色，枯萎
faint	adj.微弱的；模糊的；无力的
fairly	adv.公平地；相当地
faithful	n.信徒 adj.忠实的
faithfulness	n.忠诚，诚实
fake	n.赝品，假货 adj.假的，伪造的
falcon	n.猎鹰
falconer	n.养猎鹰者，放鹰狩猎人
famine	n.饥荒，饥饿
fanatic	adj.狂热的；盲信的
fanatical	adj.狂热的，盲信的
fanaticism	n.狂热，盲信
fanciful	adj.爱空想的
fancy	adj.新奇的，精美的
fantastic	adj.（非正式）极…的；奇异的
fantasy	n.幻想；白日梦
far-reaching	adj.影响深远的
farce	n.闹剧，滑稽剧
fascinate	vt.使着迷，使神魂颠倒
fascinating	adj.迷人的，醉人的
fascination	n.入迷，迷恋；魅力
fashion	n.流行，风尚，流行式样 vt.塑造，造
fashionable	adj.流行的，时髦的，上流社会的
fasten	vt.使固定，系
fatal	adj.致命的
fateful	adj.重大的，决定性的
fatigue	n.疲乏，劳累
faucet	n.水龙头
fault	n.（地质学）断层 n.过错，缺点
fauna	n.动物群，动物区系
favorable	adj.有利的；有助的；赢得赞扬的
favored	adj.首选的；受到优待的；受优惠的
feasible	adj.切实可行的
feat	n.功绩，壮举
feeble	adj.微弱的；衰弱的
feed	v.喂养，饲养；吃草，靠…为生 n.饲养，饲料
feeder	n.进料器
feminism	n.女权运动
feminist	n.女权主义者
fencing	n.围墙，栅栏；击剑，剑术
fender	n.防卫物；挡泥板
ferment	vt.使发酵 n./vt.（使）激动，（使）动乱
fermentation	n.发酵
ferromagnetic	adj.铁磁的, 铁磁体
ferry	n.渡口；渡船
fertile	adj.肥沃的，富饶的；能繁殖的 adj.主意多的，有创造力的
fertilize	vt.施肥，使丰饶；使受精
fertilizer	n.肥料
fervor	n.热情，热烈
festival	n.节日
festive	adj.欢宴的，节日的
feud	n.世仇
feudal	adj.封建制度的
feverish	adj.发烧的 adj.狂热的，兴奋的
fiber	n.纤维，光纤
fiction	n.小说，（虚构）故事
fictional	adj.虚构的
fidelity	n.忠实，忠诚
fierce	adj.凶猛的
figurehead	n.装饰船头的雕像, 破浪神, 有名无实的领袖
file	n.档案 n.队列，纵队 v.归档
filter	vt.过滤 n.过滤器
finance	n.财政，拨款 vt.资助
financial	adj.财政的
financing	n.筹措资金
finch	n.雀类
finesse	n.精密技巧，灵巧 n.手腕
fingertip	n.指尖
fir	n.杉木
fireproof	adj.耐火的，防火的
firm	adj.结实的；坚定的
fishy	adj.鱼的，鱼味的；腥臭的
fitness	n.健康
fittingly	adv.适当地
fixed	adj.固定的；不变的
fixture	n.固定设备
flabby	adj.（肌肉等）不结实的，松弛的
flag	n.旗，标记 vi.衰退，低落 
flagella	n.鞭节，鞭毛
flair	n.才能，本领
flake	n.薄片   vt. 使成薄片
flamboyant	adj.艳丽的，炫耀的
flare	n.闪光；闪耀 vi.闪光，闪耀；突然爆发或燃烧
flash	n./vi.闪光；闪现
flashlight	n.手电筒；闪光灯
flashy	adj.浮华的
flavor	n.味，风味 vt.加香味于
flavoring	n.调味品，调料
flea	n.跳蚤
fleeting	adj.短暂的，飞逝的
flexibility	n.灵活性
flexible	adj.易弯曲的，柔软的；变通的
flickering	adj.闪烁的，摇曳的，一闪一闪的
flint	n.打火石
float	v.漂浮，使漂浮
flock	n.（畜、禽）群，大量 v.蜂拥，群集
floodplain	n.泛滥平原, 涝原, 漫滩
flora	n.某一地区或时期的植物总称
floral	adj.花的，植物的
flounder	n.比目鱼 v.挣扎，艰难地移动
flourish	vi.繁荣，茂盛；健康成长 n.挥舞
fluctuate	vi.波动，起伏
fluctuation	n.波动，起伏
fluent	adj.流利的；流畅的
fluffy	adj.绒毛的，松软的
fluorescent	adj.荧光的, 莹光的
flux	n.变迁；涨潮
flyspeck	n.蝇粪留下的污点, 污点
foe	n.敌人，敌军
fog	n.雾
fogged	adj.[摄]有灰雾的,不清晰的
foggy	adj.雾深的, 模糊的
foghorn	n.雾号（浓雾信号）
fold	v.折叠 n.折痕，折
folding	adj.可折叠的
foliage	n.树叶，植物
folklore	n.民间传说
folly	n.愚笨，愚蠢，荒唐事
foment	v.煽动，助长
foolish	adj.愚蠢的
footnote	n.脚注
footpath	n.人行道，小路
forage	n.草料
foray	n.袭击
forbid	v.禁止
forbidding	adj.可怕的，令人难以亲近的，令人生畏的
ford	n.浅滩，水浅可涉处
forebear	n.祖先
forecast	n.预测，预报 v.预测
forefather	n.祖先，祖宗
forefront	n.最前沿
foremost	adj.最重要的；最先的
forerunner	n.先驱，前身；预兆
foresee	vt.预见，预知
foreshadow	vt.成为先兆，预示
foresight	n.远见，深谋远虑
forestall	vt.预防，预先阻止
foretell	v.预示，预测
forge	v.铸造，伪造
formal	adj.正式的；形式的；合乎礼仪的
formalized	adj.形式化的，使程序化的
format	n.模式，格式
formation	n.形成，构成
formative	adj.形成中的，发展中的
former	adj.从前的，以前的
formerly	adv.从前，以前
formidable	adj.令人敬畏的，可怕的
formula	n.公式；规则
formulate	vt.系统地阐述（或提出）
fort	n.要塞，堡垒
fortify	vt.加强，巩固
fortress	n.要塞；城堡
fortuitous	adj.偶然的，意外的
fortuitously	adv.偶然地，意外地
fortunate	adj.幸运的
fortune	n.财富；运气
fossil	n.化石；僵化的事物
fossilize	vt.使成化石
fossilized	adj.变成化石的
foster	vt.鼓励，促进 vt.养育，抚养
foul	adj.污秽的，肮脏的
founder	n.创建者，创始人
fraction	n.小部分，少量 n.分数
fracture	n.骨折；破裂 vt.使破裂，断裂
fragile	adj.易碎的，脆的；脆弱的
fragility	n.脆弱
fragment	n.碎片，破片
fragrance	n.芬芳，香味
fragrant	adj.香的，芬芳的
frame	n.框架 vt.加外框 vt.提出，制定
framework	n.构架；骨架
frank	adj.坦白的，直率的
fray	vt.使磨损
freight	n.货物，货运 vt.装货，运送
freighter	n.货车
frenetic	adj.狂乱的，发狂的
frenzy	n.狂暴；狂怒
fresco	n.壁画 vt.作壁画于
freshly	adv.新近，最近
freshness	n.新鲜；活力
friction	n.摩擦 n.冲突，不和
frightening	adj.令人恐惧的，引起突然惊恐的
frigid	adj.寒冷的；冷淡的
fringe	n.边缘；边界 adj.边缘的
frisky	adj.活泼的，欢闹的
frivolity	n.轻浮
frost	n.霜；霜冻 vi.结霜
frown	vi.皱眉；不赞成，反对
frugal	adj.节约的，节俭的
frugality	n.节约，俭省
fruitful	adj.硕果累累的；成功的
fruitfulness	n.硕果累累；多产
fruitless	adj.不结果实的，无收获的
fruitlessly	adv.徒劳地
frustrate	v.挫败，破坏 v.使沮丧
frustrating	adj.令人沮丧胆
frustration	n.挫败，挫折
fume	n.烟，气体
fumigate	vt.烟熏；用香薰
functional	adj.功能的；有用的
functioning	n.运转，操作
fund	n.资金；基金 vt.提供资金
fundamental	adj.基础的，基本的
funding	n.拨款
fungi	n.（fungus的复数）真菌
furious	adj.狂怒的；狂暴的
furnish	vt.装备；提供
furnishing	n.（家庭中包含家具及其他）设备的总称
furniture	n.家具
furry	adj.毛皮的；盖着皮毛的
further	vt.促进，增进 adj.更多的，另外的
fuse	v.熔合
fused	adj.熔合在一起的
fusion	n.核聚变 n.熔化；联合
galaxy	n.星系；银河
gallant	adj.(对女子)殷勤的;勇敢的,英勇的
gallantry	n.勇敢
gallery	n.画廊，美术馆
galvanization	n.镀锌；电镀
galvanize	vt.通电流于；刺激，激起
gap	n.裂口；缺口 n.差距
garb	n.服装，装束
garbage	n.垃圾，废物
gaseous	adj.气体的，气态的
gasoline	n.汽油
gauge	v.测量，计量；评价，估计 n.量规，量表
gazette	n.政府公报
gear	n.齿轮，传动装置 v.使适合，使一致
gem	n.宝石，珠宝
gemstone	n.经雕琢的宝石
generalization	n.概括
generalize	vt.归纳，概括
generate	vt.造成，产生 vt.产卵
generous	adj.慷慨的 adj.大量的
genesis	n.起源，产生
genetic	adj.遗传的，起源的
genetically	adv.遗传上
genetics	n.遗传学
genial	adj.和蔼可亲的
genre	n.文学上的流派和体裁
gentility	n.有教养，文雅
genuine	adj.真正的，真实的；真诚的
geomagnetic	adj.地磁的
germ	n.细菌
giant	n.巨人，巨大的怪物 adj.庞大的，巨大的
gibe	vi.嘲弄，讥笑
gigantic	adj.巨大的
gilding	n.贴金箔，镀金
girder	n.钢结构大梁
glacial	adj.冰的，冰河的；冰冷的
glacier	n.冰川
glamorous	adj.迷人的，富有魅力的
gland	n.腺体
glandular	adj.腺体的
glare	n.眩目的光 v.闪耀
glassware	n.玻璃器具
glaze	vt.装玻璃，上釉，使表面光滑 n.釉料
glazed	adj.上过釉的，表面光滑的
glean	v.点滴搜集；拾
glide	vi.滑动，滑行
glider	n.滑行者；滑翔机
glimpse	n.一瞥，一看 v.瞥见
global	adj.全球性的
glorify	v.美化，赞扬
glossy	adj.平滑的，有光泽的
glowing	adj.白热的，通红的
gnaw	v.咬，啃
goal	n.目标
gorgeous	adj.华丽的；灿烂的
gorilla	n.大猩猩
gospel	n.福音
gossip	n.社会新闻，小道传闻
gourmand	n.嗜食者
gourmet	n.美食家
govern	vt.统治，管理；控制
governor	n.州长；总督
grab	vt.攫取，抓住
grace	n.风度
graceful	adj.优雅的
graduate	n.(大学)毕业生, 研究生
graft	vt.嫁接，接枝
grand	adj.壮观的；显赫的
grandeur	n.庄严，伟大
granite	n.花岗岩
graph	n.图表
graphic	adj.绘画似的；图解的，生动的
graphics	n.（作单数用）制图法，制图学
graphite	n.石墨
grasp	vt.抓住，抓紧 n.掌握，领会
grasshopper	n.蚱蜢，蚂蚱
grateful	adj.感激的，感谢的
gravitation	n.引力，重力
gravitational	adj.地心引力的，重力的
gravity	n.地心引力 n.严肃，一本正经
graze	v.放牧，吃草
grease	n.油脂
greedy	adj.贪婪的
grind	vt.磨碎，碾碎
grip	v.紧握，紧抓
grope	vi.摸索，探索
grumble	n./v.抱怨
guarantee	vt.保证，担保
gulf	n.海湾
gull	n.鸥，海鸥
gulp	n./vt.吞；吞咽
gush	vi.喷涌，涌流
gust	n.一阵强风
gymnastic	adj.体操的，体育的
gymnastics	n.体操，体育
gyration	n.旋转
habitat	n.栖息地，居留地
hail	n.冰雹 vt.致敬，向…欢呼
hallmark	n.标志，特征
halt	n./vt.（使）停止
ham	n.火腿；大腿
hamburger	n.汉堡包
hamper	vt.妨碍，使困难
handful	n.一把, 少数
handicap	n.残疾 vt.严重妨碍，削弱
handicraft	n.手工艺品
hands-on	亲手抓的
handy	adj.便利的，容易取得的
haphazard	adj.偶然的；随便的
harbor	n.海港 n.避难所
harden	v.使变硬
hardware	n.五金器具，硬件
hardy	adj.能吃苦耐劳的，强壮的
harmful	adj.有害的；伤害的
harmless	adj.无害的
harmonic	adj.和声的
harmonica	n.口琴
harmonious	adj.和谐的
harmonize	v.（使）协调，（使）和谐
harmony	n.协调，融洽
harness	vt.利用（河流、瀑布等）产生动力 n.（全套）马具
harsh	adj.粗糙的；刺耳的，刻薄的 adj.严厉的；严酷的，恶劣的
harshness	n.严酷，恶劣
harvest	v.收获，收割
haste	n.匆忙，急忙；草率
hasten	vt.加速
hatch	vt.孵化
hatchery	n.孵卵所
hatchet	n.短柄斧
hatchling	n.人工孵化的鱼苗或小鸟
haul	vt.拉，拖
haunt	vt.（思想、回忆等）萦绕心头 n.常去的地方
haunted	adj.闹鬼的,鬼魂出没的,受到折磨的
haven	n.避难所，安全地
hay	n.干草
hazard	n.危险；危害物
hazardous	adj.危险的，冒险的
haze	n.薄雾
hazel	adj.榛树的
headquarters	n.司令部，总部
heal	v.康复，治愈
healing	adj.有治疗作用的
healthful	adj.有益健康的
heaven	n.天，天堂
heavenly	adj.天空的，天上的
heed	n./v.注意，留意
heel	n.脚后跟
heighten	vt.提高，升高；加深
heir	n.继承人，后嗣
helium	n.氦
helper	n.助手
helpful	adj.有帮助的，有益的
helpless	adj.无助的，无依靠的
hem	n.（衣服或裙子）褶边，边缘
hemisphere	n.半球
herald	vt.宣布…的消息；预示…的来临
herculean	adj.力大无比的, 巨大的
herd	n.兽群；人群 vt.把…赶在一起放牧；成群，群集
herder	n.牧者，牧人
heredity	n.遗传
heritage	n.遗产；继承物
heroism	n.英雄品质，英勇
hesitate	vi.犹豫，踌躇
hestiant	adj.迟疑的，犹豫不定的
heterogeneous	adj.异类的，不同的
heyday	n.全盛期
hibernate	vi.冬眠
hibernation	n.冬眠
hide	n.兽皮 vi.隐藏，掩藏
hierarchy	n.阶层，等级制度
highlight	vt.使显著，突出 n.最显著（重要）部分
hike	v.远足，徒步旅行 n.徒步旅行
hillbilly	n.山地内部的贫农，山里人
hilly	adj.多小山的，多坡的
hinder	vt.阻碍，妨碍
hinge	n.（门等）铰链，枢纽
hint	n.提示，线索
hinterland	n.穷乡僻壤；腹地
hoe	vt.用锄耕地，锄
hollow	adj.空心的，凹陷的 adj.空洞的 vt.形成空洞；挖空 n.洞；山谷
homemade	adj.自制的，家里做的
homesick	adj.思家的，思乡病的
homespun	adj.朴素的；家里纺织的
homogeneous	adj.同类的；均匀的，同质的
homogenize	vt.使均匀
horde	n.一大群
horizon	n.地平线；眼界，视野
horizontal	adj.水平的
horn	n.（牛羊等的）角
hornbill	n.犀鸟，犀鸟科
horned	adj.有角的，角状的
hornet	n.大黄蜂类
horror	n.惊骇；恐怖
horticulture	n.园艺
hospitable	adj.好客的
hostile	adj.敌对的，不友好的
hostility	n.敌意，敌对
house	vt.给…提供住所
hover	vi.翱翔；徘徊
hovercraft	n.水翼船
hub	n.轮轴 n.活动中心
huddle	vi.缩成一团；挤成一团 n.杂乱的一堆，拥挤
hue	n.颜色，色彩
humanist	n.人道主义者，人文主义者
humanistic	adj.人性的；人文主义的
humanitarian	n./adj.人道主义者；人道主义的
humanity	n.人性；博爱，仁慈
humble	adj.卑贱的；谦逊的
humid	adj.潮湿的
humidity	n.湿气，湿度
humiliate	vt.羞辱，使丢脸
humility	n.谦卑
hummingbird	n.蜂鸟
humorous	adj.幽默的，滑稽的
hump	n.驼背；峰，圆形隆起之物
hunger	n.饥饿
hurl	vt.用力投掷
hurricane	n.飓风
husk	n.（果类或谷物）外壳；皮 vt.剥…的壳；削皮
hustle	n.挤，推，拥挤喧嚷
hydrogen	n.氢
hydrosphere	n.水圈, 水气, 水界
hygiene	n.卫生
hypersensitive	adj.非常敏感的
hypothesis	n.假设
hypothesize	vt.假设，假定
iceberg	n.冰山
icicle	n.冰柱，冰垂
icon	n.圣像，偶像 n.图标
iconographic	adj.图解的
identical	adj.同一的；完全相同的
identifiable	adj.可辨认的
identification	n.辨认；鉴定
identify	vt.识别，认出；鉴定
identity	n.身份
ideological	adj.意识形态的
ideology	n.意识形态
idiom	n.方言，土语；习惯用语
idiomatic	adj.惯用的，通顺的
idyllic	adj.田园诗的
igneous	adj.（地理）火的，火成的
ignite	v.点燃，使燃着
ignorance	n.无知，不了解
ignorant	adj.无知的；不了解的
ignore	vt.忽视；不顾，不理会
illegible	adj.难辨认的，字迹模糊的
illiterate	adj.不识字的，没受教育的
illuminate	v.照明，照亮 v.说明，阐明
illumination	n.照明；启发
illusion	n.幻觉；错觉
illusive	adj.迷惑人的；错觉的
illustrate	vt.（用图或例子）说明，阐明
illustration	n.例证；插图
image	n.图像，肖像；形象
imagery	n.（艺术、文学）肖像，形象；形象化的比喻
imaginary	adj.想象中的，虚构的
imaginative	adj.富于想象力的
imbalance	n.不平衡，不均衡
imbibe	v.吸；吸收
imitate	vt.仿效，模仿
imitation	n.模仿；仿制品
immediate	adj.立即的；（在时空上、关系上）最接近的；目前的
immediately	adv.立即，马上
immense	adj.巨大的；无边的
immigrant	n.（从外国移入的）移民，侨民
immigration	n.外来的移民, 移居入境
immobile	adj.稳定的，不动的，静止的
immobilize	vt.使不动，使固定
immune	adj.（对…）免疫的，不受影响的
immunity	n.免疫性
impact	n.影响 n.撞击，冲击
impair	vt.损害，使弱
impart	vt.传授；传递，传达
impartial	adj.公正的，无偏见的
impartially	adv.公平地，无私地
impede	vt.妨碍，阻碍
impediment	n.妨碍，阻碍（物）
impending	adj.即将发生的，逼近的
imperative	adj.必要的；强制的 n.命令；需要，必要的事
impermeable	adj.不可渗透的；不透水的
impersonal	adj.不受个人感情支配的，客观的，无私的
impersonate	vt.模仿，扮演
impersonation	n.模仿，扮演
impetus	n.推动力；激励物
implement	n.工具，器具 vt.实行，实施
implication	n.暗示，意义 n.牵连
implicit	adj.不明确的，含蓄的
imply	vt.暗示，意味
import	vt./n.（贸易）进口
impose	vt.把…强加于；施加影响
imposing	adj.使人难忘的, 壮丽的
impracticality	n.不切实际, 办不到
impressive	adj.给人深刻印象的；威严的
imprint	n.印痕，痕迹；深刻的印象 vt.压印，牢记
imprisonment	n.监禁
improbable	adj.不可能的
improvise	vt.即席创作，即兴表演
improviser	n.即席演奏者
improvision	n.即席创作
impulse	n.推动，刺激；冲动
inability	n.无能，无力
inaccessible	adj.难达到的,不可及的;不能得到的
inactivate	vt.使…不活跃
inadequate	adj.不充分的，不适当的
inanimate	adj.无生命的
inappropriate	adj.不适当的，不相称的
inaugurate	v.创新，开辟 v.使就职
incandescent	adj.遇热发光的, 白炽的
incapacitate	vt.使失去能力；使不胜任
incense	n.熏香；焚香的烟 vt.激怒
incentive	n.动机
incessant	adj.不停的，连续的
incidence	n.发生，出现；发生频率
incident	n.事件
incidentally	adv.附带地，偶然地
incise	vt.切割
incisive	adj.深刻的，尖锐的
inclination	n.嗜好，倾向
inclined	adj.倾向…的 adj.倾斜的，有坡度的
inclusive	adj.包含的，包括的
incompatible	adj.合不来的,相互不协调的;不兼容的
incomprehensible	adj.不能理解的，费解的
inconclusive	adj.非决定的
incongruity	n.不一致，不和谐
incongruous	adj.不协调的，不一致的
inconvenient	adj.不便的，有困难的
incorpoarate	vt.合并，并入；包含
incorporation	n.结合，合并
incredible	adj.难以置信的，惊人的
incredulity	n.怀疑，不相信
incur	vt.招致，引起
indefinite	adj.模糊的；不明确的
indefinitely	adv.不确定地；无穷尽地
indent	vt.切割成锯齿状
indented	adj.锯齿状的，高低不平的
indenture	vt.以契约约束
independent	adj.独立自主的，不受约束的 n.中立派，无党派者
indicate	vt.指示，指出；象征，表明
indicative	adj.指示的，预示的
indifference	n.冷漠，不关心
indifferent	adj.不感兴趣的，漠不关心的
indigestion	n.消化不良
indiscriminately	adv.随意地；不加区别地
indiscrimination	n.歧视
indispensable	adj.不可缺少的，必需的
individualism	n.个人主义
induce	vt.诱使，促使；导致
inducible	adj.可诱导的
industrial	adj.工业的
industrialization	n.工业化
industrialized	vt.工业化的
industrious	adj.勤勉的
inelastic	adj.无弹性的
ineligible	adj.无资格的；不适当的
inert	adj.惰性的；不活泼的
inevitably	adv.不可避免地，必然地
inextricably	adv.无法摆脱地
infancy	n.幼年
infection	n.传染（病）
infectious	adj.传染性的，易传染的
inferior	adj.（等级、社会地位、质量等）差的；（较）低的
inferiority	n.自卑感
infertile	adj.不肥沃的
infest	vt.骚扰，大批滋生
infiltrate	vt.使透过，渗透
infirmary	n.医院, 医务室<美>养老院, 救济院
inflate	vt.使膨胀，使充气
inflation	n.通货膨胀
inflexible	adj.坚定的
inflict	vt.造成；(使)遭受(痛苦、损伤等)
influential	adj.有影响的；有权势的
influenza	n.流行性感冒
influx	n.流入，汇集
informal	adj.不拘礼节的，随便的；非正式的
informative	adj.提供消息的，见闻广博的
informed	adj.受过教育的，见多识广的
infuse	vt.注入，灌输
infusion	n.注入
ingenious	adj.机灵的，有独创性的
ingeniously	adv.天才地，独创地
ingredient	n.配料，成份
inhabit	vt.居住于，栖息于
inhabitant	n.居民，住户
inherent	adj.固有的，内在的
inherit	vt.继承
inheritance	n.遗产
inhibit	vt.抑制；阻止
initial	adj.最初的，初始的 n.开头大写字母
initially	adv.最初，开头
initiate	vt.开始，发起
inject	vt.注射；注入，灌溉
injury	n.伤害，侮辱
injustice	n.不公平，不讲道义
innate	adj.先天的，天生的
innermost	adj.最里面的；内心的，秘密的
innocent	adj.无辜的，清白的；天真的
innovation	n.改革，创新
innovative	adj.创新的，革新的
innumerable	adj.无数的，数不清的
inoffensive	adj.无害的,不触犯人的,让人不讨厌的
inpractical	adj.不切实际的
inquiry	n.质问；调查
insanity	n.精神错乱，疯狂
insert	vt.插入
insight	n.洞察力，见识
insignificant	adj.无关紧要的, 可忽略的, 无意义的
insist	vt.坚持认为；坚决主张
insistence	n.坚持
inspect	vt.检查；审查
inspection	n.检查，细看
inspector	n.检查员，巡视员
inspiration	n.灵感
inspire	vt.鼓舞；给…以灵感
inspiring	adj.使人振奋的，鼓舞的
install	vt.安装，设置
installment	n.分期付款
instantaneous	adj.瞬间的，即刻的
instinct	n.本能，直觉
instinctive	adj.天生的，本能的
instinctively	adv.本能地；凭直觉地
institute	n.学院；学会，协会 vt.开始；制定
institution	n.机构；惯例
institutionalize	v.使制度化
instruct	vt.教；命令
instruction	n.命令，指示；教学
instructive	adj.有益的；教育性的
instrument	n.仪器；工具；乐器
instrumental	adj.有帮助的，可作为手段的 adj.器具的
instrumentalist	n.器乐家，器乐演奏者
insufficient	adj.不足的，不够的
insulation	n.绝缘；隔离；孤立
insulin	n.胰岛素
insult	vt.侮辱，凌辱
insulting	adj.侮辱性的，欺负人的
insurmountable	adj.不能克服的, 不能超越的
intact	adj.尚未被人碰到的，完整的
integral	adj.整体的；构成整体所需的
integrate	vt.使成为整体，使一体化
integrated	adj.整合的，一体化的
integrity	n.完整性；正直，诚实
intellect	n.智力
intellectual	n.知识分子   adj. 智力的
intelligence	n.智力；聪明
intelligent	adj.聪明的，有才智的
intelligible	adj.明了的，可理解的
intense	adj.强烈的，剧烈的
intensify	vt.加强；扩大
intensive	adj.加强的；集中的，密集的
intention	n.意图，目的=intent
intentionally	adv.有意地，特意地
interact	vi.互相作用，互相影响
interaction	n.相互作用
interactive	adj.交互式的
interconnected	adj.相互连接的
interconnecting	adj.相互连接的
interdependence	n.互相依赖
interdependent	adj.相互依赖的，互助的
interest	n.兴趣；利息
interfere	vi.妨碍；干涉
interference	n.冲突；干涉
interior	n./adj.内部（的）
interlocking	adj.连锁的，关联的
intermediate	adj.中间的；中级的
intermittent	adj.间歇的，断断续续的
internal	adj.内在的
interpersonal	adj.人与人之间的；关于人与人之间关系的
interpretation	n.解释
interrupt	vt.打断，使中断
intersect	vi.相交
intersected	adj.分割的
intersection	n.十字路口, 交叉点
interstellar	adj.星际的
interval	n.间隔时间
intervention	n.干涉，介入
intimacy	n.亲密，熟悉
intimate	adj.亲密的 adj.（知识）渊博的
intoxication	n.陶醉
intrepid	adj.勇敢的
intricate	adj.复杂的，错综的
intricately	adv.杂乱地
intrigue	vt.激起…的兴趣
intriguing	adj.吸引人的,引起兴趣(或好奇心)的
intrinsic	adj.固有的，内在的
introspective	adj.自省的，反省的
intruder	n.入侵者，闯入者
intruding	adj.入侵性的
intrusion	n.侵扰，干扰
inundate	vt.淹没
invade	vt.侵略，侵犯
invader	n.侵略者
invariably	adv.不变地，总是
invasion	n.入侵
inventory	n.存货清单；库存品
invertebrate	n.无脊椎动物
investigate	vt.调查，研究
investigation	n.调查
inviting	adj.诱人的，引人心动的
involuntary	adj.自然而然的，无意的
ion	n.离子
ionosphere	n.电离层
ironic	adj.讽刺的
irony	n.反讽，讽刺
irradiate	vt.照射
irregular	adj.不规则的，不整齐的
irregularly	adv.不规则地
irrelevant	adj.不相关的，不切题的
irreparable	adj.不能挽回的
irresistible	adj.不可抵抗的, 不能压制的
irresponsible	adj.不负责任的，不可靠的
irreverence	n.不尊敬
irreverent	adj.不尊敬的
irreversible	adj.不能撤回的，不能取消的
irrevocable	adj.不能取消的
irrigate	vt.灌溉
irrigation	n.灌溉
irritable	adj.易怒的，急躁的
irritate	vt.激怒；使过敏
irritating	adj.刺激的；使人愤怒的，气人的
isolate	vt.使隔离，使孤立
isolated	adj.与世隔绝的，偏僻的；孤独的
isolation	n.隔离；孤立
issue	n.问题 n.（报刊的）期 v.发行
iterate	vt.反复说，重申
itinerant	adj.巡回的
itinerary	n.路线
jar	n.罐，广口瓶 vt.震动；刺激，震惊
jealousy	n.妒忌，羡慕
jelly	n.果冻，胶状物
jellyfish	n.水母
jewel	n.宝石
jeweler	n.宝石商，宝石匠
jewelry	n.珠宝
jog	vi.慢跑
jogging	n.慢跑
jolt	n.震动，颠簸 vt.使颠簸，猛击
jolting	adj.令人震惊的
journal	n.期刊，杂志 n.（航海）日记；分类帐
journalism	n.新闻业, 报章杂志
journalist	n.新闻记者
journalistic	adj.新闻事业的，新闻工作的
jubilant	adj.欢腾的，喜气洋洋的
judgement	n.判决
judicious	adj.明智的；有判断力的
juice	n.（水果）汁，液
juicy	adj.多汁液的
jumble	vt.使混乱，混杂 n.混乱；杂乱的一堆
junction	n.连接；汇合处
juncture	n.接合，接缝
jungle	n.丛林
jurisdiction	n.权限；管辖范围
jury	n.陪审团
justice	n.正义，公平，公正
justify	vt.证明…是正当的或有理的；为…辩护
justly	adv.公正地，正当地
juvenile	n./adj.青少年（的）
juxtaposition	n.毗邻，并置，并列
keen	adj.（感觉、观察、理解等）敏锐的，敏捷的 adj.锋利的
ken	n.视野，知识领域
kennel	n.狗舍，狗窝
kernel	n.仁，核心；(去壳的)麦粒，谷粒
kerosene	n.煤油
keyboard	n.键盘
